 TIME                    	Q                        	
  +0.0000000000000000E+00	  -9.9990000000000000E+03	
  +1.0000000000000000E+00	  +1.4202700042674038E+04	
  +2.0000000000000000E+00	  +1.1555908720614889E+04	
  +3.0000000000000000E+00	  +1.0359569892362082E+04	
  +4.0000000000000000E+00	  +9.6560390241289933E+03	
  +5.0000000000000000E+00	  +9.1795286900114661E+03	
  +6.0000000000000000E+00	  +8.8879663242024508E+03	
  +7.0000000000000000E+00	  +8.6232659557300831E+03	
  +8.0000000000000000E+00	  +8.3974931755174221E+03	
  +9.0000000000000000E+00	  +8.2052614067048908E+03	
  +1.0000000000000000E+01	  +8.0399881110783717E+03	
  +1.1000000000000000E+01	  +7.8969574150760982E+03	
  +1.2000000000000000E+01	  +7.7720326375875766E+03	
  +1.3000000000000000E+01	  +7.6621081070077435E+03	
  +1.4000000000000000E+01	  +7.5645085882430303E+03	
  +1.5000000000000000E+01	  +7.4769290414899979E+03	
  +1.6000000000000000E+01	  +7.3974672872249230E+03	
  +1.7000000000000000E+01	  +7.3246180758566998E+03	
  +1.8000000000000000E+01	  +7.2572319107262811E+03	
  +1.9000000000000000E+01	  +7.1944491469047871E+03	
  +2.0000000000000000E+01	  +7.1356317058384984E+03	
  +2.1000000000000000E+01	  +7.0803031472445391E+03	
  +2.2000000000000000E+01	  +7.0281008562147363E+03	
  +2.3000000000000000E+01	  +6.9787403382562579E+03	
  +2.4000000000000000E+01	  +6.9319897999577206E+03	
  +2.5000000000000000E+01	  +6.8876527399639981E+03	
  +2.6000000000000000E+01	  +6.8455564264265395E+03	
  +2.7000000000000000E+01	  +6.8055445297376336E+03	
  +2.8000000000000000E+01	  +6.7674726013278732E+03	
  +2.9000000000000000E+01	  +6.7312054481361001E+03	
  +3.0000000000000000E+01	  +6.6966157296862575E+03	
  +3.1000000000000000E+01	  +6.6635833081426163E+03	
  +3.2000000000000000E+01	  +6.6319950284957495E+03	
  +3.3000000000000000E+01	  +6.6017447112425143E+03	
  +3.4000000000000000E+01	  +6.5727332158560448E+03	
  +3.5000000000000000E+01	  +6.5448684875776635E+03	
  +3.6000000000000000E+01	  +6.5180655387582183E+03	
  +3.7000000000000000E+01	  +6.4922463429173076E+03	
  +3.8000000000000000E+01	  +6.4673396376833298E+03	
  +3.9000000000000000E+01	  +6.4432806442872543E+03	
  +4.0000000000000000E+01	  +6.4200107177368964E+03	
  +4.1000000000000000E+01	  +6.3974769448698671E+03	
  +4.2000000000000000E+01	  +6.3756317078690308E+03	
  +4.3000000000000000E+01	  +6.3544322298592479E+03	
  +4.4000000000000000E+01	  +6.3338401172001904E+03	
  +4.5000000000000000E+01	  +6.3138209105333208E+03	
  +4.6000000000000000E+01	  +6.2943436538965370E+03	
  +4.7000000000000000E+01	  +6.2753804891219343E+03	
  +4.8000000000000000E+01	  +6.2569062798461282E+03	
  +4.9000000000000000E+01	  +6.2388982681231455E+03	
