 TIME                    	Tout                     	
  +0.0000000000000000E+00	  -9.9990000000000000E+03	
  +1.0000000000000000E+00	  -2.3819072136478825E-02	
  +2.0000000000000000E+00	  -5.7845515042182405E-01	
  +3.0000000000000000E+00	  -8.2914838432851590E-01	
  +4.0000000000000000E+00	  -9.7657353207875408E-01	
  +5.0000000000000000E+00	  -1.0764264448362630E+00	
  +6.0000000000000000E+00	  -1.1375234439844184E+00	
  +7.0000000000000000E+00	  -1.1929915018815473E+00	
  +8.0000000000000000E+00	  -1.2403022695874704E+00	
  +9.0000000000000000E+00	  -1.2805845062293968E+00	
  +1.0000000000000000E+01	  -1.3152175850696812E+00	
  +1.1000000000000000E+01	  -1.3451897191199222E+00	
  +1.2000000000000000E+01	  -1.3713677514003386E+00	
  +1.3000000000000000E+01	  -1.3944024765154854E+00	
  +1.4000000000000000E+01	  -1.4148544909547991E+00	
  +1.5000000000000000E+01	  -1.4332068166343235E+00	
  +1.6000000000000000E+01	  -1.4498580559646035E+00	
  +1.7000000000000000E+01	  -1.4651236345350220E+00	
  +1.8000000000000000E+01	  -1.4792444297964886E+00	
  +1.9000000000000000E+01	  -1.4924005806496594E+00	
  +2.0000000000000000E+01	  -1.5047257966861107E+00	
  +2.1000000000000000E+01	  -1.5163199161440968E+00	
  +2.2000000000000000E+01	  -1.5272589250946438E+00	
  +2.3000000000000000E+01	  -1.5376024394753405E+00	
  +2.4000000000000000E+01	  -1.5473990316799431E+00	
  +2.5000000000000000E+01	  -1.5566898786232111E+00	
  +2.6000000000000000E+01	  -1.5655111763417326E+00	
  +2.7000000000000000E+01	  -1.5738956837561791E+00	
  +2.8000000000000000E+01	  -1.5818736701167260E+00	
  +2.9000000000000000E+01	  -1.5894734651786124E+00	
  +3.0000000000000000E+01	  -1.5967217531860207E+00	
  +3.1000000000000000E+01	  -1.6036437090590403E+00	
  +3.2000000000000000E+01	  -1.6102630444762982E+00	
  +3.3000000000000000E+01	  -1.6166020093919300E+00	
  +3.4000000000000000E+01	  -1.6226813787358969E+00	
  +3.5000000000000000E+01	  -1.6285204426215618E+00	
  +3.6000000000000000E+01	  -1.6341370102328501E+00	
  +3.7000000000000000E+01	  -1.6395474320537504E+00	
  +3.8000000000000000E+01	  -1.6447666411417883E+00	
  +3.9000000000000000E+01	  -1.6498082119055386E+00	
  +4.0000000000000000E+01	  -1.6546844334250017E+00	
  +4.1000000000000000E+01	  -1.6594063936735965E+00	
  +4.2000000000000000E+01	  -1.6639840709819689E+00	
  +4.3000000000000000E+01	  -1.6684264292636988E+00	
  +4.4000000000000000E+01	  -1.6727415139105588E+00	
  +4.5000000000000000E+01	  -1.6769365458999461E+00	
  +4.6000000000000000E+01	  -1.6810180120647684E+00	
  +4.7000000000000000E+01	  -1.6849917500876641E+00	
  +4.8000000000000000E+01	  -1.6888630272986997E+00	
  +4.9000000000000000E+01	  -1.6926366126364341E+00	
  +5.0000000000000000E+01	  -1.6963168415584422E+00	
  +5.1000000000000000E+01	  -1.6999076739777399E+00	
  +5.2000000000000000E+01	  -1.7034127454129151E+00	
  +5.3000000000000000E+01	  -1.7068354117078828E+00	
  +5.4000000000000000E+01	  -1.7101787878386450E+00	
  +5.5000000000000000E+01	  -1.7134457812763624E+00	
  +5.6000000000000000E+01	  -1.7166391204683262E+00	
  +5.7000000000000000E+01	  -1.7197613789166293E+00	
  +5.8000000000000000E+01	  -1.7228149954860492E+00	
  +5.9000000000000000E+01	  -1.7258022912908848E+00	
  +6.0000000000000000E+01	  -1.7287254836956003E+00	
  +6.1000000000000000E+01	  -1.7315866978506453E+00	
  +6.2000000000000000E+01	  -1.7343879760653405E+00	
  +6.3000000000000000E+01	  -1.7371312854208165E+00	
  +6.4000000000000000E+01	  -1.7398185238600763E+00	
  +6.5000000000000000E+01	  -1.7424515250626822E+00	
  +6.6000000000000000E+01	  -1.7450320622730635E+00	
  +6.7000000000000000E+01	  -1.7475618513271893E+00	
  +6.8000000000000000E+01	  -1.7500425529977832E+00	
  +6.9000000000000000E+01	  -1.7524757748164252E+00	
  +7.0000000000000000E+01	  -1.7548630725291254E+00	
  +7.1000000000000000E+01	  -1.7572059511949205E+00	
  +7.2000000000000000E+01	  -1.7595058661079954E+00	
  +7.3000000000000000E+01	  -1.7617642235371469E+00	
  +7.4000000000000000E+01	  -1.7639823814037161E+00	
  +7.5000000000000000E+01	  -1.7661616498734221E+00	
  +7.6000000000000000E+01	  -1.7683032919504462E+00	
  +7.7000000000000000E+01	  -1.7704085240707115E+00	
  +7.8000000000000000E+01	  -1.7724785167423265E+00	
  +7.9000000000000000E+01	  -1.7745143951964915E+00	
  +8.0000000000000000E+01	  -1.7765172401388252E+00	
  +8.1000000000000000E+01	  -1.7784880885117516E+00	
  +8.2000000000000000E+01	  -1.7804279343521956E+00	
  +8.3000000000000000E+01	  -1.7823377296826253E+00	
  +8.4000000000000000E+01	  -1.7842183854784706E+00	
  +8.5000000000000000E+01	  -1.7860707726806049E+00	
  +8.6000000000000000E+01	  -1.7878957232598915E+00	
  +8.7000000000000000E+01	  -1.7896940312996490E+00	
  +8.8000000000000000E+01	  -1.7914664541610925E+00	
  +8.9000000000000000E+01	  -1.7932137136151964E+00	
  +9.0000000000000000E+01	  -1.7949364970566004E+00	
  +9.1000000000000000E+01	  -1.7966354586800521E+00	
  +9.2000000000000000E+01	  -1.7983112206971725E+00	
  +9.3000000000000000E+01	  -1.7999643745434928E+00	
  +9.4000000000000000E+01	  -1.8015954820760705E+00	
  +9.5000000000000000E+01	  -1.8032050767677754E+00	
  +9.6000000000000000E+01	  -1.8047936648844973E+00	
  +9.7000000000000000E+01	  -1.8063617266521099E+00	
  +9.8000000000000000E+01	  -1.8079097173893324E+00	
  +9.9000000000000000E+01	  -1.8094380686173441E+00	
  +1.0000000000000000E+02	  -1.8109471891387843E+00	
  +1.0100000000000000E+02	  -1.8124374661049121E+00	
  +1.0200000000000000E+02	  -1.8139092660334841E+00	
  +1.0300000000000000E+02	  -1.8153629357812542E+00	
  +1.0400000000000000E+02	  -1.8167988035236022E+00	
  +1.0500000000000000E+02	  -1.8182171796564641E+00	
  +1.0600000000000000E+02	  -1.8196183576810103E+00	
  +1.0700000000000000E+02	  -1.8210026150696110E+00	
  +1.0800000000000000E+02	  -1.8223702140645828E+00	
  +1.0900000000000000E+02	  -1.8237214024669726E+00	
  +1.1000000000000000E+02	  -1.8250564143971721E+00	
  +1.1100000000000000E+02	  -1.8263754709870259E+00	
  +1.1200000000000000E+02	  -1.8276787810878163E+00	
  +1.1300000000000000E+02	  -1.8289665419177372E+00	
  +1.1400000000000000E+02	  -1.8302389396918481E+00	
  +1.1500000000000000E+02	  -1.8314961502096301E+00	
  +1.1600000000000000E+02	  -1.8327383394415906E+00	
  +1.1700000000000000E+02	  -1.8339656640742823E+00	
  +1.1800000000000000E+02	  -1.8351782720272496E+00	
  +1.1900000000000000E+02	  -1.8363763029537985E+00	
  +1.2000000000000000E+02	  -1.8375598887291977E+00	
  +1.2100000000000000E+02	  -1.8387291538960508E+00	
  +1.2200000000000000E+02	  -1.8398842161110567E+00	
  +1.2300000000000000E+02	  -1.8410251865679594E+00	
  +1.2400000000000000E+02	  -1.8421521703923860E+00	
  +1.2500000000000000E+02	  -1.8432652670369827E+00	
  +1.2600000000000000E+02	  -1.8443645706511171E+00	
  +1.2700000000000000E+02	  -1.8454501704275856E+00	
  +1.2800000000000000E+02	  -1.8465221509696401E+00	
  +1.2900000000000000E+02	  -1.8475805925912416E+00	
  +1.3000000000000000E+02	  -1.8486255716680282E+00	
  +1.3100000000000000E+02	  -1.8496571609129688E+00	
  +1.3200000000000000E+02	  -1.8506754296933479E+00	
  +1.3300000000000000E+02	  -1.8516804442945209E+00	
